sk_ocupacao;cd_ocupacao;ds_ocupacao;dt_carga
296;214250;engenheiro civil (portos e vias navegáveis);2025-09-30 00:47:30
297;214255;engenheiro civil (rodovias);2025-09-30 00:47:30
298;214260;engenheiro civil (saneamento);2025-09-30 00:47:30
299;214265;engenheiro civil (túneis);2025-09-30 00:47:30
300;214270;engenheiro civil (transportes e trânsito);2025-09-30 00:47:30
301;214280;tecnólogo em construção civil;2025-09-30 00:47:30
302;214305;engenheiro eletricista;2025-09-30 00:47:30
303;214310;engenheiro eletrônico;2025-09-30 00:47:30
304;214315;engenheiro eletricista de manutenção;2025-09-30 00:47:30
305;214320;engenheiro eletricista de projetos;2025-09-30 00:47:30
306;214325;engenheiro eletrônico de manutenção;2025-09-30 00:47:30
307;214330;engenheiro eletrônico de projetos;2025-09-30 00:47:30
308;214335;engenheiro de manutenção de telecomunicações;2025-09-30 00:47:30
309;214340;engenheiro de telecomunicações;2025-09-30 00:47:30
310;214345;engenheiro projetista de telecomunicações;2025-09-30 00:47:30
311;214350;engenheiro de redes de comunicação;2025-09-30 00:47:30
312;214360;tecnólogo em eletricidade;2025-09-30 00:47:30
313;214365;tecnólogo em eletrônica;2025-09-30 00:47:30
314;214370;tecnólogo em telecomunicações;2025-09-30 00:47:30
315;214375;engenheiro de energia;2025-09-30 00:47:30
316;214380;engenheiro biomédico;2025-09-30 00:47:30
317;214405;engenheiro mecânico;2025-09-30 00:47:30
318;214410;engenheiro mecânico automotivo;2025-09-30 00:47:30
319;214415;engenheiro mecânico (energia nuclear);2025-09-30 00:47:30
320;214420;engenheiro mecânico industrial;2025-09-30 00:47:30
321;214425;engenheiro aeronáutico;2025-09-30 00:47:30
322;214430;engenheiro naval;2025-09-30 00:47:30
323;214435;tecnólogo em fabricação mecânica;2025-09-30 00:47:30
324;214505;engenheiro químico;2025-09-30 00:47:30
325;214510;engenheiro químico (indústria química);2025-09-30 00:47:30
326;214515;engenheiro químico (mineração, metalurgia, siderurgia, cimenteira e cerâmica);2025-09-30 00:47:30
327;214520;engenheiro químico (papel e celulose);2025-09-30 00:47:30
328;214525;engenheiro químico (petróleo e borracha);2025-09-30 00:47:30
329;214530;engenheiro químico (utilidades e meio ambiente);2025-09-30 00:47:30
330;214535;tecnólogo em produção sulcroalcooleira;2025-09-30 00:47:30
331;214540;engenheiro têxtil;2025-09-30 00:47:30
332;214605;engenheiro de materiais;2025-09-30 00:47:30
333;214610;engenheiro metalurgista;2025-09-30 00:47:30
334;214615;tecnólogo em metalurgia;2025-09-30 00:47:30
335;214705;engenheiro de minas;2025-09-30 00:47:30
336;214710;engenheiro de minas (beneficiamento);2025-09-30 00:47:30
337;214715;engenheiro de minas (lavra a céu aberto);2025-09-30 00:47:30
338;214720;engenheiro de minas (lavra subterrânea);2025-09-30 00:47:30
339;214725;engenheiro de minas (pesquisa mineral);2025-09-30 00:47:30
340;214730;engenheiro de minas (planejamento);2025-09-30 00:47:30
341;214735;engenheiro de minas (processo);2025-09-30 00:47:30
342;214740;engenheiro de minas (projeto);2025-09-30 00:47:30
343;214745;tecnólogo em petróleo e gás;2025-09-30 00:47:30
344;214750;tecnólogo em rochas ornamentais;2025-09-30 00:47:30
345;214805;engenheiro agrimensor;2025-09-30 00:47:30
346;214810;engenheiro cartógrafo;2025-09-30 00:47:30
347;214905;engenheiro de produção;2025-09-30 00:47:30
348;214910;engenheiro de controle de qualidade;2025-09-30 00:47:30
349;214915;engenheiro de segurança do trabalho;2025-09-30 00:47:30
350;214920;engenheiro de riscos;2025-09-30 00:47:30
351;214925;engenheiro de tempos e movimentos;2025-09-30 00:47:30
352;214930;tecnólogo em produção industrial;2025-09-30 00:47:30
353;214935;tecnólogo em segurança do trabalho;2025-09-30 00:47:30
354;214940;higienista ocupacional;2025-09-30 00:47:30
355;214945;engenheiro de logistica;2025-09-30 00:47:30
356;215105;agente de manobra e docagem;2025-09-30 00:47:30
357;215110;capitão de manobra da marinha mercante;2025-09-30 00:47:30
358;215115;comandante da marinha mercante;2025-09-30 00:47:30
359;215120;coordenador de operações de combate à poluição no meio aquaviário;2025-09-30 00:47:30
360;215125;imediato da marinha mercante;2025-09-30 00:47:30
361;215130;inspetor de terminal;2025-09-30 00:47:30
362;215135;inspetor naval;2025-09-30 00:47:30
363;215140;oficial de quarto de navegação da marinha mercante;2025-09-30 00:47:30
364;215145;prático de portos da marinha mercante;2025-09-30 00:47:30
365;215150;vistoriador naval;2025-09-30 00:47:30
366;215205;oficial superior de máquinas da marinha mercante;2025-09-30 00:47:30
367;215210;primeiro oficial de máquinas da marinha mercante;2025-09-30 00:47:30
368;215215;segundo oficial de máquinas da marinha mercante;2025-09-30 00:47:30
369;215220;superintendente técnico no transporte aquaviário;2025-09-30 00:47:30
370;215305;piloto de aeronaves;2025-09-30 00:47:30
371;215310;piloto de ensaios em vôo;2025-09-30 00:47:30
372;215315;instrutor de vôo;2025-09-30 00:47:30
373;221105;biólogo;2025-09-30 00:47:30
374;221205;biomédico;2025-09-30 00:47:30
375;222105;engenheiro agrícola;2025-09-30 00:47:30
376;222110;engenheiro agrônomo;2025-09-30 00:47:30
377;222115;engenheiro de pesca;2025-09-30 00:47:30
378;222120;engenheiro florestal;2025-09-30 00:47:30
379;222125;tecnólogo em agronegócio;2025-09-30 00:47:30
380;222205;engenheiro de alimentos;2025-09-30 00:47:30
381;222215;tecnólogo em alimentos;2025-09-30 00:47:30
382;223204;cirurgião dentista - auditor;2025-09-30 00:47:30
383;223208;cirurgião dentista - clínico geral;2025-09-30 00:47:30
384;223212;cirurgião dentista - endodontista;2025-09-30 00:47:30
385;223216;cirurgião dentista - epidemiologista;2025-09-30 00:47:30
386;223220;cirurgião dentista - estomatologista;2025-09-30 00:47:30
387;223224;cirurgião dentista - implantodontista;2025-09-30 00:47:30
388;223228;cirurgião dentista - odontogeriatra;2025-09-30 00:47:30
389;223232;cirurgião dentista - odontologista legal;2025-09-30 00:47:30
390;223236;cirurgião dentista - odontopediatra;2025-09-30 00:47:30
391;223240;cirurgião dentista - ortopedista e ortodontista;2025-09-30 00:47:30
392;223244;cirurgião dentista - patologista bucal;2025-09-30 00:47:30
